year,window_start,window_end,value,holding_days,atr_period,SL_mult,TP_mult,spec1_3d,spec1_1w,spec1_1m,spec1_3m,spec1_12m,spec2_3d,spec2_1w,spec2_1m,spec2_3m
2010,2005-01-01,2010-01-01,0.2690981331055595,7,63,3.173570266918861,3.0821128407146845,-100,-100,0,-100,0,0,0,100,100
2011,2006-01-01,2011-01-01,0.2843709660670871,10,63,3.202928961340749,3.0626853515325907,-100,-100,-100,0,0,0,0,100,100
2012,2007-01-01,2012-01-01,0.24780512187878237,7,252,3.8885137377108117,3.541837560075512,-100,-100,0,0,-100,0,100,100,0
2013,2008-01-01,2013-01-01,0.40790583364007926,7,63,2.237643583909521,4.079659868860743,-100,-100,0,0,-100,0,0,100,0
2014,2009-01-01,2014-01-01,0.9208457568111355,10,63,2.443867574735566,4.539620402608238,-100,0,-100,0,0,0,0,100,100
2015,2010-01-01,2015-01-01,1.0777426107892323,5,252,2.1582117913201055,4.999964339010206,0,-100,0,0,-100,0,0,100,0
2016,2011-01-01,2016-01-01,0.8844234062287573,5,10,2.175400909891528,4.999975258236747,-100,0,0,-100,-100,0,0,100,100
2017,2012-01-01,2017-01-01,1.340518955854336,7,252,2.5239802315930984,3.266657950568286,0,-100,0,-100,0,0,0,100,0
2018,2013-01-01,2018-01-01,1.3224822836229522,7,63,2.8586939424117794,3.0090783890781165,0,0,0,-100,-100,0,0,100,0
2019,2014-01-01,2019-01-01,0.79859923745488,7,63,3.6085479754350365,4.9240377151550465,0,-100,-100,0,0,0,0,100,0
2020,2015-01-01,2020-01-01,0.947196013822962,7,63,2.998230947254243,4.924322879836568,0,-100,-100,0,0,0,0,100,0
2021,2016-01-01,2021-01-01,0.9054576303582194,5,21,2.30035981139889,4.999397507368753,0,-100,-100,0,0,0,0,100,0
2022,2017-01-01,2022-01-01,0.9882076602909051,7,21,2.3222618122486995,3.249606254266581,-100,0,-100,0,-100,0,0,100,0
2023,2018-01-01,2023-01-01,0.8440217318604437,5,21,2.3015483413432993,3.3503172085326387,0,-100,-100,0,0,0,0,100,0
2024,2019-01-01,2024-01-01,0.9020371251031928,20,63,2.3858400337533014,4.755811547166072,0,0,-100,0,0,100,100,0,0
2025,2020-01-01,2025-01-01,0.9107885261201334,5,21,2.2855229840362368,4.995147280341115,-100,0,-100,0,-100,0,0,100,0
2026,2021-01-01,2026-01-01,0.9420320599043187,20,21,2.0030091351001915,4.849117413316388,-100,0,-100,0,0,0,100,0,0
